title,genre,runtime,release,domestic
Accepted,Comedy,1 hrs. 30 min.,"August 18, 2006","$36,323,505"
Accident,Drama,1 hrs. 43 min.,"May 23, 2014","$17,161"
"Accidental Courtesy:Daryl Davis, Race & America",Documentary,1 hrs. 40 min.,"January 6, 2017","$1,940"
The Accidental Husband,Romantic Comedy,1 hrs. 30 min.,N/A,Unknown
The Accidental Tourist,Romance,2 hrs. 1 min.,"December 23, 1988","$32,632,093"
The Accompanist,Foreign,1 hrs. 50 min.,"December 23, 1993","$769,983"
The Accountant,Drama,2 hrs. 8 min.,"October 14, 2016","$86,260,045"
The Accused,Drama,1 hrs. 59 min.,"October 14, 1988","$32,078,318"
Ace in the Hole,Drama,1 hrs. 51 min.,"June 29, 1951",Unknown
Ace Ventura:Pet Detective,Comedy,1 hrs. 27 min.,"February 4, 1994","$72,217,396"
Ace Ventura:When Nature Calls,Comedy,1 hrs. 34 min.,"November 10, 1995","$108,385,533"
Aces:Iron Eagle III,Action,1 hrs. 38 min.,"June 12, 1992","$2,517,600"
Across the Sea of Time (IMAX),IMAX,0 hrs. 51 min.,"October 20, 1995","$16,015,639"
Across the Universe,Musical,2 hrs. 11 min.,"September 14, 2007","$24,343,673"
Act of God,Documentary,1 hrs. 15 min.,"July 31, 2009","$9,955"
Act of Killing,Documentary,1 hrs. 55 min.,"July 19, 2013","$486,919"
Act of Valor,Thriller,1 hrs. 51 min.,"February 24, 2012","$70,012,847"
Action Jackson,Action,1 hrs. 35 min.,"February 12, 1988","$20,256,975"
Action Jackson (2014),Foreign,2 hrs. 24 min.,"December 5, 2014","$256,872"
Action Point,Unknown,N/A,"March 23, 2018",Unknown
Actress (2014),Documentary,1 hrs. 26 min.,"November 7, 2014","$19,365"
Acts of Worship,Unknown,1 hrs. 34 min.,"November 21, 2003",Unknown
Dunkirk,Action Thriller,1 hrs. 46 min.,"July 21, 2017",Unknown
Adam,Comedy / Drama,1 hrs. 35 min.,"July 29, 2009","$2,277,396"
Adam & Steve,Romantic Comedy,1 hrs. 39 min.,"March 31, 2006","$309,404"
Adam's Apples,Foreign,1 hrs. 34 min.,"March 16, 2007","$1,305"
Adam's Rib,Romantic Comedy,1 hrs. 40 min.,"November 18, 1949",Unknown
Adaptation.,Comedy,1 hrs. 54 min.,"December 6, 2002","$22,498,520"
The Addams Family,Horror Comedy,1 hrs. 42 min.,"November 22, 1991","$113,502,426"
Addams Family Values,Horror Comedy,1 hrs. 34 min.,"November 19, 1993","$48,919,043"
Adderall Diaries,Drama / Thriller,1 hrs. 45 min.,"April 15, 2016",Unknown
Addicted,Drama,1 hrs. 45 min.,"October 10, 2014","$17,390,770"
Addicted to Fame,Documentary,1 hrs. 29 min.,"November 30, 2012",Unknown
Addicted to Love,Romantic Comedy,1 hrs. 39 min.,"May 23, 1997","$34,673,095"
The Addiction,Unknown,1 hrs. 22 min.,"October 6, 1995","$307,308"
Addiction Incorporated,Documentary,1 hrs. 40 min.,"December 14, 2011","$40,106"
The Adjuster,Unknown,1 hrs. 42 min.,"May 29, 1992","$396,573"
The Adjustment Bureau,Sci-Fi Thriller,1 hrs. 39 min.,"March 4, 2011","$62,495,645"
The Admiral:Roaring Currents,Foreign,2 hrs. 7 min.,"August 8, 2014","$2,589,811"
Admission,Comedy / Drama,1 hrs. 57 min.,"March 22, 2013","$18,007,317"
Adoration,Drama,1 hrs. 40 min.,"May 8, 2009","$294,244"
Adore,Drama,1 hrs. 40 min.,"September 6, 2013","$318,982"
Adored:Diary of a Male Porn Star,Unknown,1 hrs. 41 min.,"April 2, 2004",Unknown
Adrenaline Rush:The Science of Risk (IMAX),IMAX,0 hrs. 40 min.,"October 18, 2002","$10,994,028"
Adrift in Manhattan,Drama,1 hrs. 31 min.,"September 21, 2007","$2,099"
Adult Beginners,Comedy / Drama,1 hrs. 30 min.,"April 24, 2015","$108,808"
Adult World,Comedy,1 hrs. 33 min.,"February 14, 2014","$25,368"
Advanced Style,Documentary,1 hrs. 12 min.,"September 26, 2014","$87,879"
Adventureland,Comedy,1 hrs. 46 min.,"April 3, 2009","$16,044,025"
The Adventurer:The Curse of the Midas Box,Family Adventure,1 hrs. 38 min.,"January 10, 2014","$6,399"
Adventures in Babysitting,Comedy,1 hrs. 39 min.,"July 3, 1987","$34,368,475"
Adventures of a Young Man,Drama,2 hrs. 25 min.,"July 25, 1962",Unknown
Adventures of American Rabbit,Unknown,1 hrs. 22 min.,"January 17, 1986","$1,268,443"
The Adventures of Baron Munchausen,Unknown,2 hrs. 5 min.,"March 10, 1989","$8,083,123"
The Adventures of Buckaroo Banzai,Unknown,1 hrs. 43 min.,"August 10, 1984","$6,254,148"
Adventures of Don Juan,Romantic Adventure,1 hrs. 50 min.,"December 1, 1948",Unknown
The Adventures of Elmo in Grouchland,Family,1 hrs. 17 min.,"October 1, 1999","$11,683,047"
The Adventures of Felix,Foreign,1 hrs. 35 min.,"June 15, 2001","$363,409"
The Adventures of Ford Fairlane,Action Comedy,1 hrs. 44 min.,"July 13, 1990","$21,413,502"
The Adventures of Huck Finn,Family Adventure,1 hrs. 48 min.,"April 2, 1993","$24,103,594"
The Adventures of Marco Polo,Adventure,1 hrs. 40 min.,"April 15, 1938",Unknown
The Adventures of Mark Twain,Animation,1 hrs. 26 min.,"January 17, 1986","$849,915"
The Adventures of Milo and Otis,Unknown,1 hrs. 16 min.,"August 25, 1989","$2,948,215"
Adventures of Milo and Otis (Re-issue),Family Adventure,1 hrs. 15 min.,"June 15, 1990","$10,351,534"
The Adventures of Pinocchio,Family Adventure,1 hrs. 34 min.,"July 26, 1996","$15,094,530"
The Adventures of Pluto Nash,Sci-Fi Comedy,1 hrs. 35 min.,"August 16, 2002","$4,420,080"
Adventures of Power,Comedy,1 hrs. 29 min.,"October 9, 2009","$17,419"
"The Adventures of Priscilla, Queen of the Desert",Comedy,1 hrs. 42 min.,"August 10, 1994","$11,220,670"
The Adventures of Rocky & Bullwinkle,Family Comedy,1 hrs. 32 min.,"June 30, 2000","$26,005,820"
The Adventures of Sebastian Cole,Comedy / Drama,1 hrs. 39 min.,"August 6, 1999","$100,841"
The Adventures of Sharkboy and Lavagirl in 3D,Family Adventure,1 hrs. 34 min.,"June 10, 2005","$39,177,684"
The Adventures of Tintin,Animation,1 hrs. 41 min.,"December 21, 2011","$77,591,831"
Advise & Consent,Drama,2 hrs. 18 min.,"June 6, 1962",Unknown
The Advocate,Period Drama,1 hrs. 42 min.,"August 24, 1994","$602,329"
The Advocate:A Missing Body,Crime,1 hrs. 57 min.,"October 23, 2015","$50,162"
Dunkirk,Action Thriller,1 hrs. 46 min.,"July 21, 2017",Unknown
Ae Dil Hai Mushkil,Drama,2 hrs. 38 min.,"October 28, 2016","$4,264,983"
Aeon Flux,Sci-Fi Action,1 hrs. 35 min.,"December 2, 2005","$25,874,337"
Aferim!,Comedy / Drama,1 hrs. 46 min.,"January 22, 2016",Unknown
An Affair of Love,Unknown,N/A,"August 11, 2000","$359,050"
The Affair of the Necklace,Unknown,1 hrs. 58 min.,"November 30, 2001","$471,210"
The Afflicted,Horror,1 hrs. 23 min.,"October 21, 2011","$212,940"
Afflicted (2014),Horror,1 hrs. 25 min.,"April 4, 2014","$121,179"
Affliction,Drama,1 hrs. 55 min.,"December 30, 1998","$6,330,054"
Afghan Star,Documentary,1 hrs. 27 min.,"June 26, 2009","$102,115"
Afraid of the Dark,Thriller,1 hrs. 32 min.,"July 24, 1992","$53,932"
Africa's Elephant Kingdom (IMAX),IMAX,0 hrs. 40 min.,"May 1, 1998","$13,485,455"
Africa:The Serengeti (IMAX),IMAX,0 hrs. 39 min.,"April 1, 1994",Unknown
African Cats,Documentary,1 hrs. 29 min.,"April 22, 2011","$15,428,747"
The African Queen,Romantic Adventure,1 hrs. 45 min.,"December 23, 1951",Unknown
After,Drama,1 hrs. 39 min.,"September 9, 2011","$24,544"
After Dark's Horror Fest:8 Films to Die For,Horror,1 hrs. 34 min.,"November 17, 2006",Unknown
After Dark's Horrorfest 2,Horror,1 hrs. 30 min.,"November 9, 2007","$874,635"
"After Dark, My Sweet",Romantic Thriller,1 hrs. 54 min.,"August 24, 1990","$2,678,414"
After Earth,Sci-Fi,1 hrs. 40 min.,"May 31, 2013","$60,522,097"
After Freedom,Unknown,N/A,"May 14, 2004","$35,639"
After Hours,Unknown,1 hrs. 36 min.,"September 13, 1985","$10,609,321"
After Innocence,Documentary,1 hrs. 35 min.,"October 21, 2005","$114,264"
After Life,Foreign,1 hrs. 58 min.,"May 14, 1999","$801,985"
After Midnight,Unknown,1 hrs. 33 min.,"November 3, 1989","$76,325"
After Midnight,Foreign,1 hrs. 29 min.,"December 3, 2004","$50,469"
After School,Unknown,1 hrs. 29 min.,"September 23, 1988","$3,967"
After The Ball,Romantic Comedy,1 hrs. 42 min.,"February 27, 2015","$161,820"
After the Cup:Sons of Sakhnin United,Documentary,1 hrs. 20 min.,"May 21, 2010","$11,538"
After the Life:Trilogy 3,Foreign,2 hrs. 4 min.,"February 13, 2004","$27,256"
After the Storm,Drama,1 hrs. 57 min.,"March 17, 2017",Unknown
After the Sunset,Romantic Thriller,1 hrs. 38 min.,"November 12, 2004","$28,331,233"
After the Thin Man,Comedy Thriller,1 hrs. 52 min.,"December 25, 1936",Unknown
After the Wedding,Foreign,2 hrs. 0 min.,"March 30, 2007","$1,534,584"
After the Wizard,Fantasy,1 hrs. 20 min.,"August 10, 2012",Unknown
After Tiller,Documentary,1 hrs. 25 min.,"September 20, 2013","$72,125"
After Words,Romantic Adventure,1 hrs. 31 min.,"August 21, 2015",Unknown
After.Life,Horror Thriller,1 hrs. 37 min.,"April 9, 2010","$108,595"
Afterglow,Romance,1 hrs. 53 min.,"December 26, 1997","$2,465,960"
Afterimage,Drama,1 hrs. 40 min.,"May 19, 2017",Unknown
The Afterlight,Drama / Thriller,1 hrs. 27 min.,"September 10, 2010","$3,059"
Aftermath (2014),Crime Thriller,N/A,"November 28, 2014","$3,451"
Afternoon Delight,Comedy / Drama,1 hrs. 35 min.,"August 30, 2013","$174,496"
Afternoon of a Faun,Documentary,1 hrs. 31 min.,"February 5, 2014","$172,450"
Afterschool,Drama,2 hrs. 2 min.,"October 2, 2009","$3,911"
Aftershock,Horror,1 hrs. 31 min.,"May 10, 2013","$58,510"
Aftershock (Tangshan Dadizhen),Foreign,2 hrs. 15 min.,"October 29, 2010","$62,962"
Against All Flags,Period Adventure,1 hrs. 23 min.,"December 24, 1952",Unknown
Against All Odds,Romance,2 hrs. 2 min.,"March 2, 1984","$21,689,062"
Against the Ropes,Sports Drama,1 hrs. 55 min.,"February 20, 2004","$5,884,190"
Against the Sun,Adventure,1 hrs. 40 min.,"January 23, 2015","$4,646"
Agatha,Unknown,1 hrs. 45 min.,"February 9, 1979","$7,500,000"
The Age of Adaline,Drama,1 hrs. 52 min.,"April 24, 2015","$42,629,776"
The Age of Innocence,Period Drama,2 hrs. 18 min.,"September 17, 1993","$32,255,440"
The Age of Shadows,Action Drama,2 hrs. 20 min.,"September 23, 2016","$541,719"
Age of Uprising:The Legend of Michael Kohlhaas (U.S. only),Foreign,2 hrs. 2 min.,"May 30, 2014","$3,313"
Agent Cody Banks,Family Adventure,1 hrs. 50 min.,"March 14, 2003","$47,938,330"
Agent Cody Banks 2:Destination London,Family Adventure,1 hrs. 41 min.,"March 12, 2004","$23,630,159"
Agent Vinod,Foreign / Action,2 hrs. 37 min.,"March 23, 2012","$698,210"
The Aggressives,Documentary,1 hrs. 15 min.,"October 7, 2005","$6,533"
Agneepath,Foreign,2 hrs. 48 min.,"January 26, 2012","$1,986,748"
Agnes and His Brothers,Foreign,1 hrs. 55 min.,"June 9, 2006","$2,731"
Agnes Browne,Unknown,1 hrs. 32 min.,"December 3, 1999","$148,853"
Agnes of God,Drama / Thriller,1 hrs. 40 min.,"September 13, 1985","$25,627,836"
Agnivarsha - The Fire and the Rain,Unknown,2 hrs. 9 min.,"August 30, 2002",Unknown
The Agony and the Ecstasy,Historical Drama,2 hrs. 18 min.,"October 7, 1965",Unknown
Agora,Historical Drama,2 hrs. 7 min.,"May 28, 2010","$619,423"
The Agronomist,Documentary,1 hrs. 31 min.,"April 23, 2004","$226,189"
Dunkirk,Action Thriller,1 hrs. 46 min.,"July 21, 2017",Unknown
Ahead of Time,Documentary,1 hrs. 13 min.,"September 10, 2010","$33,024"
Ai Weiwei:Never Sorry,Documentary,1 hrs. 30 min.,"July 27, 2012","$534,100"
Ai Weiwei:The Fake Case,Documentary,1 hrs. 29 min.,"May 16, 2014","$45,255"
Aida at La Scala,Concert,2 hrs. 52 min.,"December 9, 2007","$222,927"
Aida's Secrets,Documentary,1 hrs. 30 min.,"November 3, 2017",Unknown
Aileen:The Life and Death of a Serial Killer,Documentary,1 hrs. 29 min.,"January 9, 2004","$97,362"
Aimee & Jaguar,Foreign,2 hrs. 5 min.,"August 11, 2000","$927,107"
Ain't In It For My Health:A Film About Levon Helm,Documentary,1 hrs. 45 min.,"April 19, 2013",Unknown
Ain't Them Bodies Saints,Western,1 hrs. 30 min.,"August 16, 2013","$396,519"
Air America,Action Comedy,1 hrs. 53 min.,"August 10, 1990","$31,053,601"
Air Bud,Family,1 hrs. 38 min.,"August 1, 1997","$23,144,499"
Air Bud:Golden Receiver,Family,1 hrs. 30 min.,"August 14, 1998","$10,224,116"
Air Force,War,2 hrs. 4 min.,"February 3, 1943",Unknown
Air Force One,Action Thriller,2 hrs. 4 min.,"July 25, 1997","$172,956,409"
Air Guitar Nation,Documentary,1 hrs. 21 min.,"March 23, 2007","$71,471"
The Air I Breathe,Drama,1 hrs. 37 min.,"January 25, 2008","$25,775"
Air Racers 3D,Documentary,0 hrs. 40 min.,"April 6, 2012","$1,309,987"
The Air Up There,Sports Comedy,1 hrs. 47 min.,"January 7, 1994","$21,011,318"
Airborne,Comedy,2 hrs. 9 min.,"September 17, 1993","$2,850,263"
Airheads,Comedy,1 hrs. 32 min.,"August 5, 1994","$5,751,882"
Airplane II:The Sequel,Sci-Fi Comedy,1 hrs. 24 min.,"December 10, 1982","$27,150,534"
Airplane!,Comedy,1 hrs. 28 min.,"June 27, 1980","$83,453,539"
Airport,Drama / Thriller,2 hrs. 17 min.,"March 5, 1970","$100,489,151"
Airport '77,Drama / Thriller,1 hrs. 54 min.,"March 11, 1977",Unknown
Airport 1975,Drama / Thriller,1 hrs. 47 min.,"October 18, 1974",Unknown
Aitraaz,Foreign,N/A,"November 12, 2004",Unknown
Ajami,Drama,2 hrs. 0 min.,"February 3, 2010","$622,403"
AKA,Unknown,2 hrs. 0 min.,"December 12, 2003","$49,988"
Akeelah and the Bee,Drama,1 hrs. 52 min.,"April 28, 2006","$18,848,430"
Akira,Animation,2 hrs. 4 min.,"December 25, 1989","$439,162"
Akira (Re-issue),Animation,2 hrs. 4 min.,"March 30, 2001","$114,009"
Akira Kurosawa's Dreams,Foreign,2 hrs. 0 min.,"August 24, 1990","$1,963,207"
Al Franken:God Spoke,Documentary,1 hrs. 30 min.,"September 13, 2006","$102,990"
Alabama Moon,Family Adventure,1 hrs. 38 min.,"March 18, 2011","$47,305"
Aladdin,Animation,1 hrs. 30 min.,"November 13, 1992","$217,350,219"
Alamar,Drama,1 hrs. 13 min.,"July 14, 2010","$61,613"
The Alamo (1960),War,2 hrs. 47 min.,"October 24, 1960",Unknown
The Alamo (2004),War,2 hrs. 17 min.,"April 9, 2004","$22,414,961"
Alan Partridge:The Movie,Comedy,1 hrs. 30 min.,"April 4, 2014","$153,426"
An Alan Smithee Film:Burn Hollywood Burn,Comedy,1 hrs. 26 min.,"February 27, 1998","$45,779"
The Alarmist,Unknown,1 hrs. 32 min.,"October 16, 1998","$59,864"
Alaska,Family Adventure,1 hrs. 49 min.,"August 14, 1996","$11,829,959"
Albatross,Drama,1 hrs. 29 min.,"January 13, 2012",Unknown
Albert Nobbs,Drama,1 hrs. 54 min.,"January 27, 2012","$3,014,696"
Albino Alligator,Unknown,1 hrs. 34 min.,"January 17, 1997","$339,379"
Alex and Emma,Romantic Comedy,1 hrs. 40 min.,"June 20, 2003","$14,218,698"
Alex Cross,Crime Thriller,1 hrs. 41 min.,"October 19, 2012","$25,888,412"
Alex of Venice,Drama,1 hrs. 26 min.,"April 17, 2015",Unknown
Alex Rider:Operation Stormbreaker,Action / Adventure,1 hrs. 33 min.,"October 6, 2006","$677,646"
Alexander,Historical Epic,2 hrs. 56 min.,"November 24, 2004","$34,297,191"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Family,1 hrs. 21 min.,"October 10, 2014","$66,954,149"
Alexander the Great,Historical Epic,2 hrs. 16 min.,"March 28, 1956",Unknown
Alexandra,Foreign,1 hrs. 35 min.,"March 26, 2008","$128,222"
Alexandra's Project,Drama / Thriller,1 hrs. 43 min.,"December 19, 2003","$752,148"
Alfie,Comedy / Drama,1 hrs. 42 min.,"November 5, 2004","$13,399,812"
"Alfredo, Alfredo",Unknown,N/A,December 1973,Unknown
The Algerian,Thriller,1 hrs. 33 min.,"June 26, 2015",Unknown
Algorithms,Documentary,1 hrs. 40 min.,"October 17, 2014","$2,021"
Ali,Sports Drama,2 hrs. 36 min.,"December 25, 2001","$58,203,105"
Alias Betty,Unknown,1 hrs. 41 min.,"September 13, 2002","$208,400"
The Alibi,Crime Comedy,1 hrs. 30 min.,N/A,Unknown
Alice,Fantasy Comedy,1 hrs. 46 min.,"December 25, 1990","$7,331,647"
Alice Adams,Drama,1 hrs. 39 min.,"August 23, 1935",Unknown
Alice Doesn't Live Here Anymore,Comedy / Drama,1 hrs. 52 min.,"December 9, 1974","$18,600,000"
Alice et Martin,Unknown,2 hrs. 3 min.,"July 21, 2000","$500,896"
Alice in Wonderland (1951),Animation,1 hrs. 15 min.,"July 28, 1951",Unknown
Alice in Wonderland (2010),Family Adventure,1 hrs. 49 min.,"March 5, 2010","$334,191,110"
Alice Neel,Documentary,1 hrs. 21 min.,"April 20, 2007","$48,969"
Alice Through the Looking Glass,Family Adventure,1 hrs. 52 min.,"May 27, 2016","$77,041,381"
Alice's House (A Casa de Alice),Foreign,1 hrs. 32 min.,"January 25, 2008","$61,822"
Alien,Sci-Fi Horror,1 hrs. 57 min.,"May 25, 1979","$78,944,891"
Alien 3,Sci-Fi Horror,1 hrs. 54 min.,"May 22, 1992","$55,473,545"
Alien Abduction,Sci-Fi Horror,1 hrs. 25 min.,"April 4, 2014","$12,897"
Alien Adventure (IMAX),IMAX,0 hrs. 35 min.,"August 20, 1999","$8,959,784"
Alien Arrival,Sci-Fi Action,1 hrs. 39 min.,"June 23, 2017",Unknown
Alien Love Triangle,Unknown,N/A,TBD,Unknown
Alien Nation,Sci-Fi Action,1 hrs. 31 min.,"October 7, 1988","$25,216,243"
Alien Resurrection,Sci-Fi Horror,1 hrs. 49 min.,"November 26, 1997","$47,795,658"
Alien Trespass,Sci-Fi Comedy,1 hrs. 28 min.,"April 3, 2009","$104,526"
Alien Vs. Predator,Sci-Fi Horror,1 hrs. 27 min.,"August 13, 2004","$80,282,231"
Alien:Covenant,Sci-Fi Horror,2 hrs. 2 min.,"May 19, 2017",Unknown
Alien:The Director's Cut,Sci-Fi Horror,1 hrs. 56 min.,"October 29, 2003","$1,986,910"
Aliens,Sci-Fi Horror,2 hrs. 17 min.,"July 18, 1986","$85,160,248"
Aliens in the Attic,Family Adventure,1 hrs. 26 min.,"July 31, 2009","$25,200,412"
Aliens of the Deep (IMAX),IMAX,0 hrs. 47 min.,"January 28, 2005","$8,968,684"
Aliens Vs. Predator - Requiem,Sci-Fi Horror,1 hrs. 26 min.,"December 25, 2007","$41,797,066"
Alila,Unknown,2 hrs. 2 min.,"February 27, 2004",Unknown
Alita:Battle Angel,Action / Adventure,N/A,"July 20, 2018",Unknown
Alive,Action Drama,2 hrs. 6 min.,"January 15, 1993","$36,733,909"
Alive and Kicking,Documentary,1 hrs. 28 min.,"April 7, 2017",Unknown
Alive Inside,Documentary,1 hrs. 14 min.,"July 18, 2014","$256,682"
Aliyah,Foreign,1 hrs. 30 min.,"June 14, 2013","$8,253"
All About Eve,Drama,2 hrs. 18 min.,"October 13, 1950",Unknown
All About Eve (re-issue),Drama,2 hrs. 18 min.,"October 6, 2000","$63,463"
All About Evil,Horror Comedy,N/A,"July 9, 2010","$7,995"
All About Lily Chou-Chou,Unknown,2 hrs. 26 min.,"July 12, 2002","$26,485"
All About My Mother,Foreign,1 hrs. 41 min.,"November 5, 1999","$8,272,296"
All About Steve,Comedy,1 hrs. 39 min.,"September 4, 2009","$33,862,903"
All About the Benjamins,Action Comedy,1 hrs. 35 min.,"March 8, 2002","$25,916,319"
All Access:Front Row. Backstage. Live! (IMAX),IMAX,1 hrs. 5 min.,"April 6, 2001","$992,683"
All Babes Want to Kill Me,Comedy,1 hrs. 22 min.,"February 16, 2005",Unknown
All Dogs Go to Heaven,Animation,1 hrs. 29 min.,"November 17, 1989","$27,100,027"
All Dogs Go to Heaven 2,Animation,1 hrs. 21 min.,"March 29, 1996","$8,620,678"
All Eyez on Me,Drama,2 hrs. 20 min.,"June 16, 2017",Unknown
All Good Things,Thriller,1 hrs. 41 min.,"December 3, 2010","$582,024"
All Hat,Western Comedy,1 hrs. 29 min.,"January 18, 2008","$15,198"
All I Desire,Drama,1 hrs. 19 min.,July 1953,Unknown
All I See is You,Drama / Thriller,1 hrs. 50 min.,"September 15, 2017",Unknown
All I Wanna Do,Unknown,N/A,"March 24, 2000","$5,838"
All I Want for Christmas,Family,1 hrs. 32 min.,"November 8, 1991","$14,812,144"
All is Bright,Comedy / Drama,1 hrs. 47 min.,"October 4, 2013","$4,556"
All Is Lost,Drama,1 hrs. 40 min.,"October 18, 2013","$6,263,670"
All My Loved Ones,Family,1 hrs. 31 min.,"August 16, 2002","$6,237"
All Night Long,Unknown,1 hrs. 28 min.,"March 6, 1981","$4,454,295"
All of Me,Fantasy Comedy,1 hrs. 33 min.,"September 21, 1984","$36,403,064"
All or Nothing,Unknown,2 hrs. 8 min.,"October 25, 2002","$201,546"
All Over Me,Drama,1 hrs. 30 min.,"April 25, 1997","$292,577"
All Over the Guy,Romantic Comedy,1 hrs. 35 min.,"August 10, 2001","$1,022,324"
All Quiet on the Western Front,War,2 hrs. 12 min.,"April 21, 1930",Unknown
All Roads Lead Home,Family,1 hrs. 48 min.,"September 26, 2008","$43,907"
All Saints,Drama,N/A,"August 25, 2017",Unknown
All That Heaven Allows,Drama,1 hrs. 29 min.,December 1955,Unknown
All That Jazz,Musical,2 hrs. 3 min.,"December 20, 1979","$37,823,676"
All the Best,Foreign,N/A,"October 16, 2009","$120,713"
All the Boys Love Mandy Lane,Horror,1 hrs. 28 min.,"October 11, 2013",Unknown
All the King's Men,Drama,2 hrs. 21 min.,"September 22, 2006","$7,221,458"
All the Little Animals,Unknown,N/A,"September 3, 1999","$26,558"
All the Marbles,Unknown,1 hrs. 53 min.,"October 16, 1981","$6,468,195"
All the Money in the World,Thriller,N/A,"December 8, 2017",Unknown
All the President's Men,Drama / Thriller,2 hrs. 18 min.,"April 7, 1976","$70,600,000"
All the Pretty Horses,Western,1 hrs. 57 min.,"December 25, 2000","$15,540,353"
All the Queen's Men,Unknown,1 hrs. 45 min.,"October 25, 2002","$23,662"
All The Rage:Saved by Sarno,Documentary,1 hrs. 32 min.,"June 23, 2017",Unknown
All the Real Girls,Unknown,1 hrs. 48 min.,"February 14, 2003","$549,666"
All the Right Moves,Sports Drama,1 hrs. 31 min.,"October 21, 1983","$17,233,166"
All These Sleepless Nights,Drama,1 hrs. 40 min.,"April 7, 2017","$20,762"
